trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
117,False,"{'a': 0.6, 'e': 0.4149999999999995}",25,0,6.875959736906099,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
118,False,"{'a': 0.6, 'e': 0.4099999999999995}",25,0,-33.639015239121086,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
119,False,"{'a': 0.6, 'e': 0.40499999999999947}",25,0,-2.4649707070060147,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
120,False,"{'a': 0.6, 'e': 0.39999999999999947}",25,11,14.240996743752902,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.6, 'e': 0.39499999999999946}",20,11,-31.192124094048932,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
122,False,"{'a': 0.6, 'e': 0.38999999999999946}",25,0,2.0208594160192694,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
123,False,"{'a': 0.6, 'e': 0.38499999999999945}",20,0,-97.82602837514354,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
124,False,"{'a': 0.6, 'e': 0.37999999999999945}",30,0,-112.134794407276,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
125,False,"{'a': 0.6, 'e': 0.37499999999999944}",20,0,-89.91355715912182,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
126,False,"{'a': 0.6, 'e': 0.36999999999999944}",30,20,20.54484406457169,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.6, 'e': 0.36499999999999944}",30,20,17.987289814138716,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.6, 'e': 0.35999999999999943}",20,0,-8.785558553778747,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
129,False,"{'a': 0.6, 'e': 0.3549999999999994}",20,3,11.725604184417763,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.6, 'e': 0.3499999999999994}",25,9,3.9937679931219594,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
131,False,"{'a': 0.6, 'e': 0.3449999999999994}",30,11,-50.84246515684978,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 1}",1
132,False,"{'a': 0.6, 'e': 0.3399999999999994}",20,4,9.49641033343401,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.6, 'e': 0.3349999999999994}",25,13,-16.03803039550598,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
134,False,"{'a': 0.6, 'e': 0.3299999999999994}",20,0,4.364284472624279,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
135,False,"{'a': 0.6, 'e': 0.3249999999999994}",30,19,-18.589854738551452,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.6, 'e': 0.3199999999999994}",20,10,13.59676638106284,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.6, 'e': 0.3149999999999994}",20,12,9.051279367083232,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.6, 'e': 0.3099999999999994}",20,0,0.5953036888721652,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
139,False,"{'a': 0.6, 'e': 0.3049999999999994}",30,14,-31.415640174277527,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
140,False,"{'a': 0.6, 'e': 0.2999999999999994}",20,7,1.0003830830939657,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
141,False,"{'a': 0.6, 'e': 0.2949999999999994}",25,13,-13.247772597231588,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
142,False,"{'a': 0.6, 'e': 0.28999999999999937}",20,8,18.72756056903438,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.6, 'e': 0.28499999999999936}",20,13,3.6170605716063697,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.6, 'e': 0.27999999999999936}",20,6,27.772566198288143,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.6, 'e': 0.27499999999999936}",30,7,17.439106138065654,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.6, 'e': 0.26999999999999935}",30,16,-6.266663317489481,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
147,False,"{'a': 0.6, 'e': 0.26499999999999935}",25,14,4.304192061952301,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.6, 'e': 0.25999999999999934}",25,19,13.525213636862722,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.6, 'e': 0.25499999999999934}",30,23,-27.262072357006108,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
150,False,"{'a': 0.6, 'e': 0.24999999999999933}",25,6,32.5713045266281,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.6, 'e': 0.24499999999999933}",20,12,14.698124554050848,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.6, 'e': 0.23999999999999932}",20,10,4.831484519475671,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.6, 'e': 0.23499999999999932}",30,19,-20.061234580516253,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
154,False,"{'a': 0.6, 'e': 0.22999999999999932}",20,3,6.947559333344605,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
155,False,"{'a': 0.6, 'e': 0.2249999999999993}",20,0,-32.10906123565839,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
156,False,"{'a': 0.6, 'e': 0.2199999999999993}",25,15,-36.849336961908655,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
